id,follow_id,follow_time
1,2742,2021-05-28 15:26:21
2,574,2021-05-28 16:34:33
3,2743,2021-05-28 23:33:24
4,669,2021-05-28 06:40:47
5,2744,2021-05-28 06:31:10
6,1252,2021-05-28 06:41:16
7,1402,2021-05-28 06:39:27
8,2745,2021-05-28 06:39:38
9,2206,2021-05-28 06:39:59
10,2746,2021-05-28 15:09:19
11,122,2021-05-28 00:02:32
12,1604,2021-05-28 16:20:15
13,1471,2021-05-28 09:41:08
14,122,2021-05-28 07:21:21
14,159,2021-05-28 07:12:09
14,2747,2021-09-22 14:08:18
15,2748,2021-09-22 11:38:16
16,2749,2021-09-22 22:07:19
17,2750,2021-09-22 03:00:37
18,2751,2021-09-22 00:06:49
18,2752,2021-09-22 17:10:52
19,2752,2021-09-22 21:46:15
20,84,2021-09-22 18:39:15
21,2753,2021-09-22 19:21:42
22,2754,2021-09-22 19:21:43
23,2755,2021-09-22 19:21:41
24,2756,2021-09-04 05:02:58
25,52,2021-09-04 00:30:39
26,2757,2021-09-04 16:02:12
27,2752,2021-09-04 19:52:39
28,78,2021-09-04 19:53:44
28,2758,2021-09-04 20:05:55
28,2759,2021-09-04 19:32:45
28,2054,2021-09-04 04:59:49
28,2760,2021-09-04 09:29:59
29,2761,2021-09-04 09:21:38
30,2762,2021-09-04 00:04:04
31,2763,2021-09-04 22:58:23
32,925,2021-09-04 08:24:16
32,2764,2021-09-04 21:07:51
32,2765,2020-11-30 08:49:08
33,81,2020-11-30 07:50:17
34,2766,2020-11-30 01:41:45
35,123,2020-11-30 01:41:47
36,2753,2020-11-30 01:41:48
37,2767,2020-11-30 03:39:20
38,2768,2020-11-30 20:10:28
38,2769,2020-11-30 20:10:31
39,2770,2020-11-30 20:10:34
40,2771,2020-11-30 20:10:35
41,2772,2020-11-30 20:10:30
41,2067,2020-11-30 20:10:32
42,2773,2020-11-30 20:10:33
43,52,2020-11-30 07:51:19
43,2774,2020-11-30 07:51:23
44,304,2020-11-30 07:51:21
45,597,2020-11-30 07:51:28
46,2775,2020-11-30 01:44:25
47,2755,2020-11-30 01:44:24
48,2776,2020-11-30 01:44:23
49,1355,2020-11-30 01:44:27
50,2777,2020-11-30 01:44:32
51,597,2020-11-30 01:44:30
52,2778,2020-11-30 01:44:31
52,2779,2020-11-30 01:45:53
52,2780,2020-11-30 13:11:49
52,2564,2020-11-30 13:11:43
53,2781,2020-11-30 13:11:38
54,2752,2020-11-30 13:11:48
55,1358,2020-11-30 13:11:41
56,2782,2020-11-30 13:11:47
57,1633,2020-11-30 13:11:45
58,153,2020-11-30 07:45:50
59,2067,2020-11-30 08:32:47
60,2783,2020-11-30 07:48:10
60,2745,2020-11-30 08:30:02
60,1347,2020-11-30 08:30:43
61,1040,2020-11-30 08:34:45
62,81,2020-11-30 08:33:50
63,284,2020-11-30 07:47:44
64,81,2020-11-30 07:47:46
65,2067,2020-11-30 08:33:21
66,2784,2020-11-30 15:51:18
67,171,2020-11-30 15:46:10
68,2785,2020-11-30 15:47:37
69,2786,2020-11-30 15:41:00
69,1399,2020-11-30 17:11:51
70,2787,2020-11-30 09:55:15
70,24,2020-11-30 14:04:14
71,2788,2020-11-30 16:18:52
71,2789,2020-11-30 11:06:14
71,2790,2020-11-30 11:06:16
71,137,2020-11-30 16:06:52
71,637,2020-11-30 16:06:54
71,2791,2020-11-30 17:11:18
71,273,2020-11-30 17:11:28
71,779,2020-11-30 17:09:42
71,2792,2020-11-30 11:12:50
71,2793,2020-11-30 15:36:44
72,174,2020-11-30 15:44:22
73,2794,2020-11-30 15:43:47
74,1040,2020-11-30 15:44:32
75,2795,2020-11-30 15:44:29
75,78,2020-11-30 15:42:03
75,123,2020-11-30 15:36:52
76,2796,2020-11-30 15:36:48
77,2797,2020-11-30 15:53:20
78,2798,2020-11-30 15:47:21
79,2780,2020-11-30 16:19:10
79,2799,2020-11-30 16:39:36
80,2750,2020-11-30 16:44:26
81,2800,2020-11-30 16:07:24
81,52,2020-11-30 16:12:23
81,2801,2020-11-30 16:11:32
81,2802,2020-11-30 16:12:32
81,242,2020-11-30 16:09:52
81,2803,2020-11-30 16:07:06
82,2804,2020-11-30 16:14:31
83,2805,2020-11-30 07:37:34
84,138,2020-11-30 19:43:23
85,2806,2020-11-30 19:42:52
86,2782,2020-11-30 19:42:54
87,1608,2020-11-30 16:21:05
88,2067,2020-11-30 16:21:34
89,754,2020-11-30 16:21:03
90,597,2020-11-30 16:21:36
91,667,2020-09-17 23:02:07
92,2807,2020-09-17 11:09:36
93,2808,2020-09-17 13:56:46
94,2750,2020-09-17 11:03:16
95,2206,2020-09-17 11:03:21
96,2027,2020-09-17 22:28:42
97,555,2020-09-17 11:58:53
98,2809,2020-09-17 11:58:51
99,61,2020-09-17 11:58:50
100,2782,2020-09-17 16:04:29
101,732,2020-09-17 12:37:05
102,2810,2020-09-17 12:37:09
103,2811,2020-09-17 12:37:07
104,174,2020-09-17 12:37:04
105,765,2020-09-17 21:08:16
106,2778,2020-09-17 19:16:11
107,2812,2020-09-17 07:25:56
107,2744,2020-09-17 07:25:52
107,1252,2020-09-17 07:34:03
107,1915,2020-09-17 07:34:00
107,2813,2020-09-17 08:41:03
107,2814,2020-09-17 23:43:29
107,2815,2020-09-17 15:24:35
107,947,2020-09-17 19:49:47
107,2816,2020-09-17 15:23:41
107,2555,2020-09-17 23:58:29
107,187,2020-09-17 07:32:20
107,2767,2020-09-17 23:46:14
